Name;Country;Zip;Address;Phone;Fax;Web;Email;Porfolio
Funk-Tele-Com;Germany;01773;Anton-Unger-Str. 3;035056 35711;035056 35712;;funk-tele-com@t-online.de;
FKS Ingenieurb¸ro f¸r Funk;Germany;02625;Wilthener Straﬂe 32;03591 304050;03591 304051;;klaus.lischke@fks-bautzen.de;
Seltronik GmbH;Germany;03044;Nordparkstraﬂe 30;0355 87680;0355 876830;;info@seltronik.de;
Mezger GmbH + Co KG;Germany;04179;Schomburgkstr. 7;0341 4487 0;0341 4487 404;;funk-leipzig@mezger.de;
Funkfachhandel - Lemp;Germany;04207;Ratzelstraﬂe 210;0341 9414500;0341 9414501;;info@funkhandel.de;
Drillisch Vertriebs- und Servicegesellschaft;Germany;04357;Kieler Straﬂe 9-11;0341 90290065;0341 9022531;;sven.mueller@drillisch-group.de;
FAG Kommunikationstechnik;Germany;04668;Bahnhofstraﬂe 11a;03437 911091;03437 911088;;fag-grimma@t-online.de;
Elektronik Hammer GmbH;Germany;04668;Hohnst‰dter Straﬂe 5-7;03437 919949;03437 919944;;m.hammer@elektronikhammer.de;
ETF Eislebener Tele-Funk;Germany;06295;Am Strohh¸gel 1;03475 7132 0;03475 717743;;kassner@etf-eisleben.de;
WSE Wrba Systemtechnik;Germany;06295;Freistrasse 33-34;03475 928890;03475 250181;;Frank.wrba@wrba-systemtechnik.de;
G. Fleischhauer GmbH;Germany;06849;Kreuzbergstraﬂe 31;0340 80000 0;0340 80000 47;;info@de.fleischhauer.de;
MFT Mobil-Funk-Technik GmbH;Germany;07768;Im Camisch 44;036424 23165;036424 23119;;info@mft-kahla.de;
Funk-Dietrich;Germany;08064;Hermannstraﬂe 16;0375 785346;0375 790019;;mail@funk-dietrich.de;
Petzold Meisterbetrieb;Germany;08228;Gˆltzschstraﬂe 24;03744 34262;03744 35314;;funk-tv-petzold@t-online.de;
CEMI Service GmbH;Germany;09120;Annaberger Straﬂe 111;0371 52343 0;0371 5905 161;;info@cemiservice.de;
Brakom Berlin;Germany;12683;Oberfeldstraﬂe 79;030 55128686;030 81878817;;info@brakom.de;
Niemann-Elektronik OHG;Germany;13509;Jacobsenweg 51-59;030 435 75 0;030 43575  25;;vertrieb@niemannfunk.de;
Hertz Elektronik GmbH;Germany;15378;Strausberger Str. 8h;033434 766 0;033434 766 76;;info@hertz-elektronik.de;
DT Digitaltechnik GmbH;Germany;15827;Ludwig-Erhard-Ring 18;033708 420 0;033708 420 99;;service@dt-digitaltechnik.de;
Heene & Zingelmann GbR;Germany;17039;Neubrandenburger Straﬂe 1;0395 4225767;0395 4226706;;info@heeneundzingelmann.de;
Nachrichtentechnik  Bieck GmbH;Germany;17087;Fritz-Reuter-Str. 17a;03961 2574 0;03961 2574 25;;ntbieck@t-online.de;
Comtechnikfunk GmbH;Germany;17489;Am Koppelberg 16;03834 514421;;;info@comtechnik-funk.de;
Brandschutztechnik NORD;Germany;18195;S¸lzer Str. 19;038205 13376 ;038205 65058;;brandschutztechnik@t-online.de;
Comtechnik Funk GmbH;Germany;18211;Reuterstraﬂe 20;03820373900;038203739029;;info@comtechnik-funk.de;
Telemann-Mobilfunk;Germany;22525;Uwestraﬂe 12;040 547775 20;040 547775 33;;thomas.koeslin@tm-org.de;
Sinus Nachrichtentechnik GmbH;Germany;22885;Kiebitzhˆrn 28;040 682875 0;040 682875 32;;vertrieb@sinus-nt.de;
Schˆberl Car Service GmbH;Germany;23617;Ahrensbˆker Straﬂe 118 b;0451 4508 0;0451 4508 271;;rrosin@schoeberl.de;
Systemhaus Sievers-Ehlers;Germany;24768;Fockbeker Chaussee 11;04331 66720;04331 61670;;ehlers@sievers-ehlers.de;
HFN- Handel & Dienstleistungs OHG;Germany;25524;Hindenburgstr. 2;04821 77909 0;04821 77909 13;;hfn-service@t-online.de;
Kuhnt GmbH;Germany;26125;Stubbenweg 15;0441 30005 0;0441 30005 30;;info@kuhnt.de;
Car Phone Kommunikationstechn.;Germany;26409;M¸hlenstr. 78;04462 23000;04462 23002;;info@carphone-wittmund.de;
Bernhard Plenter;Germany;26810;Groﬂwolderstraﬂe 78;04955 1664;04955 988167;;b.plenter@gmx.de;
HWS Kommunikationstechnik;Germany;27318;Schierholz 43;04251 7145;04251 671062;;hwskom@t-online.de;
Telemann-Mobilfunk Vertrieb u. Service GmbH;Germany;27574;Schiffdorfer Chaussee 136;0471 93232 0;0471 93232 33;;thomaskoeslin@tm-org.de;
Aller-Funk;Germany;29313;Wildpfad 5;05084 988578;05084 987047;;King@aller-funk.de;
Elblinger Funktechnik GmbH;Germany;30179;Wiesenauer Straﬂe 22;0511 96397 0;0511 96397 20;;info@elblinger.de;
ETL Funksysteme GmbH;Germany;30916;Ernst-Grote-Straﬂe 1;0511 610088;0511 614585;;etlfunk@htp-tel.de;
Kolody  Funk & Alarmtechnik;Germany;30974;Weetzener Straﬂe 22;05109 52007;05109 52008;;H.Kolody@t-online.de;
DVV DLRG Verlags und;Germany;31542;Im Niedernfeld 2;05723 955720;05723 955789;;dvv@dlrg.de;
Heiner Holsten Funktechnik;Germany;31655;Niedernstraﬂe 22;05721 75382;05721 82129;;holsten-funk@debitel.net;
Becker GmbH & Co. KG;Germany;32479;Holzhauser Straﬂe 106;0571 648650;0571 648651;;info@sp-becker-funk.de;
Hohmann;Germany;33154;Zum Br¸nneken 19;0700 46462666;05251 480401;;hohmann@hohmann-team.de;
Pollmeier;Germany;33378;Goldkuhlestraﬂe 24;05242 8719;05242 54725;;info@funk-pollmeier.de;
Wrede Nachrichtentechnik;Germany;33649;G¸tersloher Straﬂe 245;0521 400250;0521 4002525;;info@wrede-nachrichtensysteme.de;
Wagener Technik GmbH;Germany;34123;Falderbaumstraﬂe 25;0561 9587 111;0561 9587 505;;m.protte@wagener-technik.de;
Schneemann;Germany;34125;Grillparzerstraﬂe 48;0561 878826;0561 877274;;schneemannfunk@aol.com;
Dipl.Ing. Dittmer;Germany;34346;Falkenhorst 15;05541 72045;05541 32716;;info@dittmer-gmbh.de;
Funk und Phone;Germany;34497;Ziegelh¸tter Weg 38 B;05631 64076;05631 64861;;funk.phone@t-online.de;
CityMedia GmbH;Germany;35279;M¸hlenstraﬂe 2;06692 96170;06692 919037;;service@citymedia-online.de;
Bocom Mobile Kommunikation;Germany;35428;Poststraﬂe 1;06403 71017;06403 77349;;bocom@t-online.de;
